# wavelength(um) flux(mJy)
1.401880020668465399e+01 -6.876344697822243113e-01
1.400481593675010394e+01 5.842055627544475577e-02
1.399081608917829911e+01 5.769072143530076108e-02
1.397680046839995427e+01 2.609306440689404538e-02
1.396276887884578777e+01 3.345491400699970169e-02
1.394872112494650196e+01 2.749059530095373516e-01
1.393465701113281696e+01 2.717388050863025484e-01
1.392057634183544756e+01 8.274358841684452057e-03
1.390647892148510145e+01 -1.543235067844510831e-03
1.389236455451249341e+01 3.001094939721145327e-02
1.387823304534834001e+01 3.709134485968964418e-02
1.386408419842335249e+01 8.368972061265583795e-02
1.384991781816824030e+01 7.514009892400605461e-02
1.383573370901372535e+01 4.249349592322720914e-02
1.382153167539050820e+01 -4.685472024346755936e-03
1.380731152172931431e+01 6.093707395961317497e-02
1.379307305246084603e+01 1.159144089326518134e-01
1.377881607201582526e+01 6.729454615480735813e-02
1.376454038482495434e+01 1.035651144352135178e-01
1.375024579531896052e+01 3.045931499825198924e-02
1.373593210792854435e+01 7.027060106785952553e-02
1.372159912708442597e+01 5.615518585615179165e-02
1.370724665721731306e+01 2.768660664921224548e-02
1.369287450275792217e+01 1.293668681879047988e-01
1.367848246813696456e+01 9.078058390592937121e-02
1.366407035778515855e+01 1.160833668564728444e-01
1.364963797613321006e+01 1.181599432170945679e-01
1.363518512761183210e+01 1.413686137305814050e-01
1.362071161665173769e+01 1.112103278834803283e-01
1.360621724768364693e+01 -3.959988087955618706e-03
1.359170182513826752e+01 4.925556915737348135e-02
1.357716515344631425e+01 2.924932280503982421e-02
1.356260703703849302e+01 4.410465257556733104e-02
1.354802728034552040e+01 1.103543416749563563e-02
1.353342568779811472e+01 3.451385258972320541e-02
1.351880206382697835e+01 1.237675969334039033e-01
1.350415621286283496e+01 1.126654628738516795e-01
1.348948793933639223e+01 1.978279009902550734e-01
1.347479704767836139e+01 1.694730498478027592e-01
1.346008334231945724e+01 1.510357209272549239e-01
1.344534662769040168e+01 1.174895765491408006e-01
1.343058670822188816e+01 1.430246738915723348e-01
1.341580338834464214e+01 1.591509461653348168e-01
1.340099647248937309e+01 1.374084875135415662e-01
1.338616576508678868e+01 1.158447635402066050e-01
1.337131107056762147e+01 1.532060631995390831e-01
1.335643219336255960e+01 1.700310268274243530e-01
1.334152893790232319e+01 1.338352118850872630e-01
1.332660110861763236e+01 1.526578929955072217e-01
1.331164850993919124e+01 1.528752397193015589e-01
1.329667094629771817e+01 1.594902251550130434e-01
1.328166822212392617e+01 1.654409570379221095e-01
1.326664014184852469e+01 1.534564512030997530e-01
1.325158650990222675e+01 1.866406253009621485e-01
1.323650713071574359e+01 2.251733221825235332e-01
1.322140180871978643e+01 1.569864281186366117e-01
1.320627034834507363e+01 1.908690196211000889e-01
1.319111255402231286e+01 8.828371609281411569e-02
1.317592823018222248e+01 1.342635175529194869e-01
1.316071718125550838e+01 2.660304294849917817e-01
1.314547921167289068e+01 2.413990995497984349e-01
1.313021412586506997e+01 2.800449700215225102e-01
1.311492172826277169e+01 2.438124632488420096e-01
1.309960182329670531e+01 2.501992498361867434e-01
1.308425421539757671e+01 1.902045478984394633e-01
1.306887870899609716e+01 2.309649064234347571e-01
1.305347510852299564e+01 1.962517673987209388e-01
1.303804321840896208e+01 2.021844407525654197e-01
1.302258284308472369e+01 2.663807902949330564e-01
1.300709378698098995e+01 2.576988336550630199e-01
1.299157585452847385e+01 2.648053837268332655e-01
1.297602885015788310e+01 2.750237435367040018e-01
1.296045257829993780e+01 2.541803363690255946e-01
1.294484684338534031e+01 2.942846168509725691e-01
1.292921144984481252e+01 2.459718341713727496e-01
1.291354620210906212e+01 2.565278357619205085e-01
1.289785090460880390e+01 2.677748252100784487e-01
1.288212536177474554e+01 3.131489579922049904e-01
1.286636937803760539e+01 2.094945371381928823e-01
1.285058275782808934e+01 2.723048977565654116e-01
1.283476530557691575e+01 3.054161004602277130e-01
1.281891682571479762e+01 2.807202814104633459e-01
1.280303712267244087e+01 2.907763336399727949e-01
1.278712600088056028e+01 2.591567523131677042e-01
1.277118326476986532e+01 2.294049225031258576e-01
1.275520871877108142e+01 2.011687465946483122e-01
1.273920216731490385e+01 2.324848996110393806e-01
1.272316341483205449e+01 2.735238598260586462e-01
1.270709226575323747e+01 2.241694826306837862e-01
1.269098852450917825e+01 2.406189022136871192e-01
1.267485199553058273e+01 2.553107494749959905e-01
1.265868248324815504e+01 2.213047462019748779e-01
1.264247979209261707e+01 1.643622302855796691e-01
1.262624372649468008e+01 2.056348241111746744e-01
1.260997409088505528e+01 1.597313752811549414e-01
1.259367068969445036e+01 1.663207597115905767e-01
1.257733332735358545e+01 1.214727586838513229e-01
1.256096180829316999e+01 1.646515336817707398e-01
1.254455593694390991e+01 1.330483430937711709e-01
1.252811551773652177e+01 1.635580831045440331e-01
1.251164035510172035e+01 1.712384781466541050e-01
1.249513025347021689e+01 1.596675230770652765e-01
1.247858501727271729e+01 1.710025156455028672e-01
1.246200445093994169e+01 1.683052416869133816e-01
1.244538835890259598e+01 1.622945206643794380e-01
1.242873654559139673e+01 1.246723443870168813e-01
1.241204881543705874e+01 1.941163596641690137e-01
1.239532497287028256e+01 1.876880266286654886e-01
1.237856482232179367e+01 2.744045425677443251e-01
1.236176816822229441e+01 2.539671668589332798e-01
1.234493481500249956e+01 2.582888844249173199e-01
1.232806456709312393e+01 3.367641140768733998e-01
1.231115722892487874e+01 3.964567486832467069e-01
1.229421260492847523e+01 4.589646560389207264e-01
1.227723049953462287e+01 5.140956460163830233e-01
1.226021071717403466e+01 6.326966701251439673e-01
1.224315306227742717e+01 7.264296326922634606e-01
1.222605733927551164e+01 8.478728440456829718e-01
1.220892335259898864e+01 9.529911290614987429e-01
1.219175090667858363e+01 1.107406262476539949e+00
1.217453980594500607e+01 1.209343184672730276e+00
1.215728985482896363e+01 1.385402290719576657e+00
1.214000085776116933e+01 1.601478286298030129e+00
1.212267261917233618e+01 1.759001034443471223e+00
1.210530494349318253e+01 1.707054353910534283e+00
1.208789763515440541e+01 1.893976794725944490e+00
1.207045049858672492e+01 1.951555543681795957e+00
1.205296333822085941e+01 2.062906152450212360e+00
1.203543595848751124e+01 2.131054483187568405e+00
1.201786816381739520e+01 2.275748141151214821e+00
1.200025975864122607e+01 2.237514519847640049e+00
1.198261054738971332e+01 2.232765313032993415e+00
1.196492033449356462e+01 2.248193910680841512e+00
1.194718892438350011e+01 2.162512576012545207e+00
1.192941612149022568e+01 2.139029384268243295e+00
1.191160173024445434e+01 2.109316880635801361e+00
1.189374555507690090e+01 2.063647406449474531e+00
1.187584740041827835e+01 1.950487733411124358e+00
1.185790707069928729e+01 1.852500626289150132e+00
