# wavelength(um) flux(mJy)
6.010113275815848199e-01 8.518697142218338569e-02
6.053288458440780895e-01 8.083134692638717367e-02
6.097413483493999697e-01 6.430551384303995199e-02
6.142499000129894027e-01 6.451172258373737145e-02
6.188517565716189495e-01 6.943672897322297755e-02
6.235501562255533203e-01 7.645722611983708783e-02
6.283486286539199384e-01 6.864452250342584216e-02
6.332506866318071692e-01 5.361013923902062384e-02
6.382598232323984933e-01 4.820126367995045125e-02
6.433795090084925006e-01 6.016588735711774633e-02
6.486131891569195673e-01 8.580290462556662556e-02
6.539642806693609645e-01 9.401928305514530015e-02
6.594361694739528934e-01 1.062831012300687467e-01
6.650362779367781085e-01 1.090075204169370371e-01
6.707706602890806113e-01 8.794934747766297578e-02
6.766418267508831352e-01 6.679500634403612302e-02
6.826492150820536731e-01 5.865094436851479159e-02
6.887959873027978963e-01 6.782582399226957937e-02
6.950900005331456244e-01 8.773494397180398030e-02
7.015483989365823847e-01 9.507336486062324676e-02
7.081609471975005565e-01 1.324742232367921435e-01
7.149304630134211136e-01 1.957173423632384279e-01
7.218825552127449141e-01 2.350976474933576532e-01
7.290009028600140661e-01 2.289302590577826368e-01
7.363050192032291053e-01 1.895896668953281627e-01
7.437953494428478640e-01 1.739385696248604285e-01
7.514804890370337942e-01 1.501178392924822358e-01
7.593612964300583412e-01 1.020949986268731152e-01
7.674579215106601682e-01 6.545295029276738952e-02
7.757576724218433473e-01 5.706779733276406974e-02
7.842827008727202287e-01 5.941765297678511942e-02
7.930390637095491302e-01 6.109027918199309154e-02
8.020253686008783633e-01 5.863719238301957210e-02
8.112510807167376825e-01 4.541383757043456620e-02
8.207251047666347388e-01 2.738453904416507032e-02
8.304573766347412844e-01 2.537096701483039854e-02
8.404524752071357296e-01 3.061683029587387167e-02
8.507172448133968334e-01 5.894116312737231883e-02
8.605324350215833862e-01 1.131145919662441268e-01
8.713422651590717605e-01 1.386719072678674336e-01
8.824408113135930876e-01 1.247546195790912998e-01
8.938324706905367290e-01 1.269011275849603881e-01
9.055264378095362332e-01 1.247392172029380963e-01
9.175359159860346780e-01 1.361251475843315573e-01
