# 21aefx_opt-mangled.dat                 writespec.pro: Wed Oct 19 12:26:28 2022
# wavelength(um) flux(mJy)
     0.349510     0.041421935
     0.349603     0.038924859
     0.349696     0.036521339
     0.349789     0.042702874
     0.349883     0.048297645
     0.349976     0.064499306
     0.350069     0.065643216
     0.350162     0.064519696
     0.350255     0.063630387
     0.350349     0.048057061
     0.350442     0.038758378
     0.350535     0.040619601
     0.350628     0.040460853
     0.350722     0.044856097
     0.350815     0.060371677
     0.350908     0.069930140
     0.351001     0.073747082
     0.351094     0.074556799
     0.351188     0.075367464
     0.351281     0.076179094
     0.351374     0.076991883
     0.351467     0.077805436
     0.351561     0.072346121
     0.351654     0.065038501
     0.351747     0.040696943
     0.351840     0.050373697
     0.351933     0.050711268
     0.352027     0.042626335
     0.352120     0.058326929
     0.352213     0.070445219
     0.352306     0.059163721
     0.352400     0.044317327
     0.352493     0.055063995
     0.352586     0.075303984
     0.352679     0.061023915
     0.352772     0.032186233
     0.352866     0.033772300
     0.352959     0.044583182
     0.353052     0.054213221
     0.353145     0.077171005
     0.353238     0.079321729
     0.353332     0.070918845
     0.353425     0.085664040
     0.353518     0.095098219
     0.353611     0.075744086
     0.353705     0.050596415
     0.353798     0.063859647
     0.353891     0.080049857
     0.353984     0.067781276
     0.354077     0.069094679
     0.354171     0.076738429
     0.354264     0.056723936
     0.354357     0.058126146
     0.354450     0.072963101
     0.354544     0.066016882
     0.354637     0.055188029
     0.354730     0.042746561
     0.354823     0.055977903
     0.354916     0.072204083
     0.355010     0.064667693
     0.355103     0.072788750
     0.355196     0.074017511
     0.355289     0.061815491
     0.355383     0.076245000
     0.355476     0.087495906
     0.355569     0.080255971
     0.355662     0.065155256
     0.355755     0.052231210
     0.355849     0.038222595
     0.355942     0.038523191
     0.356035     0.051341662
     0.356128     0.058149740
     0.356221     0.059619619
     0.356315     0.066203343
     0.356408     0.079051941
     0.356501     0.084678351
     0.356594     0.073995004
     0.356688     0.058057392
     0.356781     0.054653412
     0.356874     0.054505975
     0.356967     0.045594523
     0.357060     0.033838766
     0.357154     0.035801440
     0.357247     0.052874752
     0.357340     0.065577459
     0.357433     0.063606406
     0.357527     0.052989253
     0.357620     0.057633194
     0.357713     0.077614216
     0.357806     0.083264935
     0.357899     0.059753150
     0.357993     0.037117269
     0.358086     0.049698307
     0.358179     0.056082539
     0.358272     0.065754383
     0.358366     0.083663332
     0.358459     0.070493336
     0.358552     0.031826019
     0.358645     0.021382173
     0.358738     0.037050823
     0.358832     0.052228299
     0.358925     0.055543658
     0.359018     0.045775393
     0.359111     0.050470566
     0.359205     0.063411729
     0.359298     0.059022016
     0.359391     0.050302753
     0.359484     0.052010649
     0.359577     0.056376769
     0.359671     0.046954344
     0.359764     0.042913586
     0.359857     0.041305217
     0.359950     0.030424806
     0.360043     0.049504276
     0.360137     0.076996256
     0.360230     0.068377236
     0.360323     0.058178751
     0.360416     0.057702960
     0.360510     0.047747234
     0.360603     0.031879160
     0.360696     0.029717757
     0.360789     0.049357868
     0.360882     0.065114914
     0.360976     0.067321321
     0.361069     0.055949834
     0.361162     0.040610250
     0.361255     0.039934946
     0.361349     0.050463640
     0.361442     0.055255110
     0.361535     0.054220829
     0.361628     0.058129549
     0.361721     0.067632946
     0.361815     0.066618975
     0.361908     0.043568511
     0.362001     0.033101611
     0.362094     0.055721507
     0.362188     0.063134331
     0.362281     0.059045997
     0.362374     0.049073515
     0.362467     0.043195824
     0.362560     0.034254516
     0.362654     0.028789170
     0.362747     0.030831375
     0.362840     0.047671034
     0.362933     0.058837224
     0.363026     0.059819718
     0.363120     0.052968553
     0.363213     0.042141872
     0.363306     0.041667898
