# wavelength(um) flux(mJy)
3.482750000000000012e-01 8.022179999999999589e-02
3.493879999999999764e-01 1.089870000000000005e-01
3.505010000000000070e-01 8.627179999999999571e-02
3.516139999999999821e-01 1.091170000000000057e-01
3.527270000000000127e-01 1.018789999999999973e-01
3.538399999999999879e-01 1.014759999999999968e-01
3.549530000000000185e-01 9.365420000000000689e-02
3.560659999999999936e-01 1.007389999999999952e-01
3.571799999999999975e-01 7.879790000000000405e-02
3.582929999999999726e-01 8.122790000000000565e-02
3.594060000000000032e-01 8.452030000000000654e-02
3.605189999999999784e-01 7.394950000000000134e-02
3.616320000000000090e-01 7.730689999999999784e-02
3.627449999999999841e-01 7.636930000000000107e-02
3.638580000000000148e-01 8.349330000000000640e-02
3.649709999999999899e-01 6.320610000000000117e-02
3.660840000000000205e-01 6.356050000000000588e-02
3.671969999999999956e-01 8.472889999999999588e-02
3.683100000000000263e-01 7.282279999999999309e-02
3.694230000000000014e-01 6.504780000000000284e-02
3.705359999999999765e-01 6.888579999999999703e-02
3.716490000000000071e-01 7.494750000000000023e-02
3.727619999999999822e-01 4.902209999999999901e-02
3.738750000000000129e-01 4.996769999999999684e-02
3.749879999999999880e-01 3.227499999999999813e-02
3.761010000000000186e-01 4.381249999999999728e-02
3.772139999999999938e-01 2.509959999999999969e-02
3.783270000000000244e-01 2.115550000000000069e-02
3.794399999999999995e-01 2.006720000000000032e-02
3.805529999999999746e-01 1.252460000000000032e-02
3.816660000000000053e-01 2.322240000000000068e-02
3.827789999999999804e-01 3.464819999999999706e-02
3.838920000000000110e-01 1.998360000000000067e-02
3.850060000000000149e-01 5.584360000000000018e-02
3.861189999999999900e-01 6.311899999999999455e-02
3.872320000000000206e-01 8.203009999999999469e-02
3.883449999999999958e-01 9.234979999999999578e-02
3.894580000000000264e-01 9.790759999999999741e-02
3.905710000000000015e-01 1.074100000000000055e-01
3.916839999999999766e-01 1.218970000000000053e-01
3.927970000000000073e-01 1.211480000000000057e-01
3.939099999999999824e-01 1.286190000000000111e-01
3.950230000000000130e-01 1.439809999999999979e-01
3.961359999999999881e-01 1.386610000000000065e-01
3.972490000000000188e-01 1.389980000000000104e-01
3.983619999999999939e-01 1.349299999999999944e-01
3.994750000000000245e-01 1.398820000000000063e-01
4.002169999999999894e-01 1.319110000000000005e-01
4.005879999999999996e-01 1.234989999999999977e-01
4.009590000000000098e-01 1.146770000000000012e-01
4.013300000000000201e-01 1.238849999999999951e-01
4.017009999999999748e-01 1.226750000000000063e-01
4.020719999999999850e-01 1.279790000000000094e-01
4.024429999999999952e-01 1.162770000000000054e-01
4.028140000000000054e-01 1.300689999999999902e-01
4.031850000000000156e-01 1.349390000000000034e-01
4.035560000000000258e-01 1.217270000000000019e-01
4.039269999999999805e-01 1.185599999999999987e-01
4.042979999999999907e-01 1.335129999999999928e-01
4.046690000000000009e-01 1.272780000000000022e-01
4.050400000000000111e-01 1.215989999999999988e-01
4.054110000000000213e-01 1.167640000000000067e-01
4.057819999999999760e-01 1.274500000000000077e-01
4.061529999999999863e-01 1.194930000000000020e-01
4.065239999999999965e-01 1.189859999999999945e-01
4.068950000000000067e-01 1.242339999999999972e-01
4.072660000000000169e-01 1.401100000000000123e-01
4.076370000000000271e-01 1.260590000000000044e-01
4.080090000000000106e-01 1.182629999999999931e-01
4.083789999999999920e-01 1.219719999999999971e-01
4.087509999999999755e-01 1.140999999999999931e-01
4.091210000000000124e-01 1.108240000000000058e-01
4.094929999999999959e-01 1.135789999999999994e-01
4.098629999999999773e-01 1.241639999999999966e-01
4.102339999999999876e-01 1.129580000000000028e-01
4.106060000000000265e-01 1.158489999999999936e-01
4.109769999999999812e-01 1.202379999999999977e-01
4.113479999999999914e-01 1.180670000000000053e-01
4.117190000000000016e-01 1.368369999999999864e-01
4.120900000000000118e-01 1.172389999999999960e-01
4.124610000000000221e-01 1.230360000000000065e-01
4.128319999999999768e-01 1.420150000000000023e-01
4.132020000000000137e-01 1.375770000000000048e-01
4.135739999999999972e-01 1.383290000000000075e-01
4.139450000000000074e-01 1.337629999999999930e-01
4.143160000000000176e-01 1.435730000000000062e-01
4.146869999999999723e-01 1.359829999999999928e-01
4.150579999999999825e-01 1.488109999999999988e-01
4.154289999999999927e-01 1.327000000000000124e-01
4.158000000000000029e-01 1.479959999999999887e-01
4.161710000000000131e-01 1.621150000000000091e-01
4.165420000000000234e-01 1.663270000000000026e-01
4.169129999999999781e-01 1.598080000000000056e-01
4.172839999999999883e-01 1.809360000000000135e-01
4.176549999999999985e-01 1.616150000000000087e-01
4.180260000000000087e-01 1.767509999999999915e-01
4.183970000000000189e-01 1.854500000000000037e-01
4.187679999999999736e-01 1.711989999999999901e-01
4.191389999999999838e-01 1.865709999999999869e-01
4.195099999999999940e-01 1.899820000000000120e-01
4.198810000000000042e-01 1.920010000000000050e-01
4.202520000000000144e-01 1.907200000000000006e-01
4.206230000000000246e-01 1.937149999999999983e-01
4.209939999999999793e-01 2.156319999999999903e-01
4.213649999999999896e-01 2.131359999999999921e-01
4.217359999999999998e-01 2.111629999999999896e-01
4.221070000000000100e-01 2.110640000000000016e-01
4.224780000000000202e-01 2.250060000000000116e-01
4.228489999999999749e-01 2.581220000000000181e-01
4.232199999999999851e-01 2.495719999999999883e-01
4.235909999999999953e-01 2.503619999999999735e-01
4.239620000000000055e-01 2.670690000000000008e-01
4.243330000000000157e-01 2.826980000000000048e-01
4.247040000000000259e-01 2.772749999999999937e-01
4.250749999999999806e-01 2.824019999999999864e-01
4.254459999999999908e-01 2.827419999999999933e-01
4.258170000000000011e-01 2.871449999999999836e-01
4.261880000000000113e-01 3.084879999999999844e-01
4.265590000000000215e-01 3.060399999999999787e-01
4.269299999999999762e-01 3.108279999999999932e-01
4.273009999999999864e-01 3.198269999999999724e-01
4.276719999999999966e-01 3.214110000000000023e-01
4.280430000000000068e-01 3.218179999999999930e-01
4.284140000000000170e-01 3.270089999999999941e-01
4.287850000000000272e-01 3.322089999999999765e-01
4.291559999999999819e-01 3.445420000000000149e-01
4.295269999999999921e-01 3.310290000000000177e-01
4.298980000000000024e-01 3.344869999999999788e-01
4.302690000000000126e-01 3.414119999999999933e-01
4.306400000000000228e-01 3.590369999999999950e-01
4.310109999999999775e-01 3.299799999999999955e-01
4.313819999999999877e-01 3.348289999999999877e-01
4.317529999999999979e-01 3.546039999999999748e-01
4.321249999999999813e-01 3.418260000000000187e-01
4.324950000000000183e-01 3.362410000000000121e-01
4.328659999999999730e-01 3.306700000000000195e-01
4.332369999999999832e-01 3.381290000000000129e-01
4.336079999999999934e-01 3.440949999999999842e-01
4.339790000000000036e-01 3.466799999999999882e-01
4.343500000000000139e-01 3.500579999999999803e-01
4.347210000000000241e-01 3.412459999999999938e-01
4.350930000000000075e-01 3.456870000000000220e-01
4.354640000000000177e-01 3.435610000000000053e-01
4.358339999999999992e-01 3.481759999999999855e-01
4.362059999999999826e-01 3.463189999999999880e-01
4.365760000000000196e-01 3.523089999999999833e-01
4.369480000000000031e-01 3.462990000000000235e-01
4.373179999999999845e-01 3.561730000000000174e-01
4.376900000000000235e-01 3.615999999999999770e-01
4.380609999999999782e-01 3.595229999999999815e-01
4.384319999999999884e-01 3.586790000000000256e-01
4.388029999999999986e-01 3.497629999999999906e-01
4.391740000000000088e-01 3.482020000000000115e-01
4.395450000000000190e-01 3.534930000000000017e-01
4.399159999999999737e-01 3.541619999999999768e-01
4.402869999999999839e-01 3.570209999999999773e-01
4.406579999999999941e-01 3.580990000000000006e-01
4.410290000000000044e-01 3.604450000000000154e-01
4.414000000000000146e-01 3.489079999999999959e-01
4.417710000000000248e-01 3.513450000000000184e-01
4.421419999999999795e-01 3.382760000000000211e-01
4.425129999999999897e-01 3.428999999999999826e-01
4.428839999999999999e-01 3.338309999999999889e-01
4.432550000000000101e-01 3.374980000000000202e-01
4.436260000000000203e-01 3.235600000000000143e-01
4.439969999999999750e-01 3.180499999999999994e-01
4.443679999999999852e-01 3.111760000000000081e-01
4.447389999999999954e-01 3.076869999999999883e-01
4.451100000000000056e-01 2.861770000000000147e-01
4.454810000000000159e-01 2.988549999999999818e-01
4.458520000000000261e-01 3.024530000000000274e-01
4.462229999999999808e-01 2.793829999999999925e-01
4.465939999999999910e-01 2.800940000000000096e-01
4.469650000000000012e-01 2.760190000000000143e-01
4.473360000000000114e-01 2.645419999999999994e-01
4.477070000000000216e-01 2.787140000000000173e-01
4.480779999999999763e-01 2.574049999999999949e-01
4.484489999999999865e-01 2.636939999999999840e-01
4.488199999999999967e-01 2.475140000000000118e-01
4.491910000000000069e-01 2.689759999999999929e-01
4.495620000000000172e-01 2.736910000000000176e-01
4.499330000000000274e-01 2.762189999999999923e-01
4.503039999999999821e-01 2.577300000000000146e-01
4.506749999999999923e-01 2.687169999999999837e-01
4.510460000000000025e-01 2.650440000000000018e-01
4.514170000000000127e-01 2.706939999999999902e-01
4.517880000000000229e-01 2.698380000000000223e-01
4.521589999999999776e-01 3.090970000000000106e-01
4.525299999999999878e-01 3.213130000000000153e-01
4.529009999999999980e-01 3.296239999999999726e-01
4.532720000000000082e-01 3.333550000000000124e-01
4.536430000000000184e-01 3.660109999999999753e-01
4.540139999999999731e-01 3.778230000000000199e-01
4.543849999999999834e-01 3.816979999999999817e-01
4.547559999999999936e-01 4.004630000000000134e-01
4.551270000000000038e-01 4.153530000000000277e-01
4.554980000000000140e-01 4.301610000000000156e-01
4.558690000000000242e-01 4.497439999999999771e-01
4.562399999999999789e-01 4.868500000000000050e-01
